mevan,nontouch,free,horizontal,0.976
hussel,touch,free,horizontal,0.959
samitha,nontouch,free,backslash,0.973
chamod,nontouch,free,horizontal,0.997
sachith,nontouch,free,horizontal,0.946
yilei,touch,free,vertical,0.821
sam,touch,free,vertical,0.997
kaixing,touch,free,static,0.912
kaixing,touch,free,vertical,0.99
chamod,touch,free,static,0.997
sachith,nontouch,free,backslash,0.926
sachith,touch,free,circle,0.899
samitha,touch,free,static,0.919
mevan,touch,free,horizontal,0.834
vipula,touch,free,vertical,0.98
mevan,touch,free,backslash,0.821
samitha,nontouch,free,circle,0.97
sachith,nontouch,free,circle,0.943
tharindu,nontouch,free,backslash,0.976
sam,nontouch,free,circle,0.993
vipula,touch,free,circle,0.997
hussel,nontouch,free,circle,0.949
hussel,touch,free,vertical,0.899
kaixing,nontouch,free,vertical,0.966
chamod,nontouch,free,vertical,0.922
hussel,nontouch,free,slash,0.99
yilei,touch,free,static,0.983
hussel,nontouch,free,static,0.976
chamod,nontouch,free,circle,0.97
kaixing,touch,free,circle,0.973
kaixing,touch,free,backslash,0.993
tharindu,nontouch,free,static,0.97
hussel,nontouch,free,vertical,0.848
sam,nontouch,free,slash,0.983
vipula,nontouch,free,horizontal,1.0
tharindu,touch,free,static,0.963
chamod,nontouch,free,slash,0.98
mevan,touch,free,static,0.909
tharindu,touch,free,horizontal,0.99
vipula,touch,free,horizontal,0.97
sam,touch,free,circle,0.997
mevan,nontouch,free,slash,0.99
yilei,nontouch,free,vertical,0.943
tharindu,nontouch,free,slash,0.993
chamod,touch,free,vertical,0.99
sachith,touch,free,static,0.949
samitha,nontouch,free,static,0.976
tharindu,touch,free,backslash,0.993
samitha,touch,free,backslash,0.757
samitha,nontouch,free,horizontal,0.993
samitha,touch,free,vertical,0.895
kaixing,nontouch,free,circle,1.0
vipula,nontouch,free,backslash,0.98
mevan,touch,free,slash,0.939
sachith,touch,free,backslash,0.932
hussel,touch,free,slash,0.916
mevan,nontouch,free,backslash,0.966
sachith,touch,free,slash,0.97
sam,touch,free,horizontal,0.956
sachith,touch,free,vertical,0.943
sachith,touch,free,horizontal,0.895
hussel,nontouch,free,backslash,0.78
yilei,touch,free,slash,0.885
tharindu,touch,free,circle,1.0
kaixing,touch,free,slash,0.959
sam,touch,free,slash,0.966
kaixing,nontouch,free,horizontal,0.993
vipula,nontouch,free,slash,1.0
sam,nontouch,free,horizontal,0.963
vipula,nontouch,free,circle,0.997
hussel,touch,free,circle,0.929
sachith,nontouch,free,vertical,0.932
hussel,touch,free,static,0.889
kaixing,touch,free,horizontal,0.939
vipula,nontouch,free,static,0.963
sam,touch,free,backslash,0.905
sam,nontouch,free,vertical,0.99
samitha,nontouch,free,slash,0.97
hussel,nontouch,free,horizontal,0.986
yilei,nontouch,free,slash,0.986
yilei,touch,free,backslash,0.72
mevan,nontouch,free,vertical,0.976
sam,nontouch,free,backslash,0.953
tharindu,touch,free,vertical,0.983
sam,nontouch,free,static,0.804
vipula,touch,free,backslash,0.98
yilei,touch,free,circle,0.865
yilei,touch,free,horizontal,0.939
mevan,touch,free,circle,0.993
chamod,touch,free,backslash,0.99
yilei,nontouch,free,horizontal,0.97
tharindu,nontouch,free,horizontal,1.0
tharindu,touch,free,slash,0.993
chamod,touch,free,horizontal,0.98
kaixing,nontouch,free,static,0.946
