0,1,2,3,4,5,6,7,8
-2.0,-2.0,2.0,1.0,0.0,-1.0,66.0,-22.0,-79.0
-1.0,-3.0,1.0,0.0,1.0,0.0,66.0,-21.0,-79.0
-1.0,-4.0,0.0,1.0,1.0,-1.0,67.0,-20.0,-80.0
0.0,-5.0,0.0,0.0,0.0,0.0,67.0,-20.0,-80.0
-1.0,-4.0,1.0,1.0,1.0,0.0,68.0,-19.0,-80.0
-1.0,-5.0,-1.0,0.0,1.0,-1.0,68.0,-18.0,-81.0
-1.0,-5.0,-2.0,1.0,0.0,0.0,69.0,-18.0,-81.0
-1.0,-4.0,-3.0,0.0,1.0,0.0,69.0,-17.0,-81.0
-1.0,-5.0,-3.0,0.0,0.0,0.0,69.0,-17.0,-81.0
-1.0,-3.0,-4.0,1.0,1.0,-1.0,70.0,-16.0,-82.0
0.0,-4.0,-4.0,0.0,0.0,0.0,70.0,-16.0,-82.0
1.0,-2.0,-4.0,0.0,1.0,0.0,70.0,-15.0,-82.0
0.0,0.0,0.0,0.0,0.0,0.0,70.0,-15.0,-82.0
0.0,-3.0,-3.0,1.0,0.0,0.0,71.0,-15.0,-82.0
1.0,-1.0,-4.0,0.0,0.0,0.0,71.0,-15.0,-82.0
1.0,-1.0,-5.0,0.0,0.0,0.0,71.0,-15.0,-82.0
1.0,-1.0,-4.0,0.0,0.0,1.0,71.0,-15.0,-81.0
1.0,0.0,-5.0,1.0,1.0,0.0,72.0,-14.0,-81.0
1.0,1.0,-5.0,0.0,0.0,0.0,72.0,-14.0,-81.0
1.0,1.0,-4.0,0.0,-1.0,0.0,72.0,-15.0,-81.0
2.0,0.0,-6.0,1.0,0.0,0.0,73.0,-15.0,-81.0
1.0,0.0,-6.0,0.0,0.0,0.0,73.0,-15.0,-81.0
1.0,1.0,-6.0,1.0,0.0,0.0,74.0,-15.0,-81.0
1.0,-1.0,-7.0,0.0,-1.0,1.0,74.0,-16.0,-80.0
2.0,0.0,-7.0,1.0,0.0,0.0,75.0,-16.0,-80.0
0.0,0.0,0.0,0.0,0.0,0.0,75.0,-16.0,-80.0
1.0,0.0,-7.0,0.0,-1.0,0.0,75.0,-17.0,-80.0
1.0,0.0,-8.0,1.0,-1.0,0.0,76.0,-18.0,-80.0
1.0,-1.0,-7.0,0.0,-1.0,0.0,76.0,-19.0,-80.0
-1.0,-2.0,-5.0,1.0,-1.0,1.0,77.0,-20.0,-79.0
0.0,-2.0,-5.0,0.0,-1.0,0.0,77.0,-21.0,-79.0
-1.0,-4.0,-2.0,1.0,-1.0,0.0,78.0,-22.0,-79.0
-1.0,-4.0,-2.0,0.0,-1.0,0.0,78.0,-23.0,-79.0
-1.0,-4.0,0.0,0.0,-1.0,0.0,78.0,-24.0,-79.0
-2.0,-5.0,1.0,1.0,-1.0,0.0,79.0,-25.0,-79.0
-2.0,-5.0,2.0,0.0,-1.0,0.0,79.0,-26.0,-79.0
