0,1,2,3,4,5,6,7,8
0.0,-13.0,7.0,2.0,1.0,-1.0,68.0,64.0,184.0
0.0,-15.0,7.0,2.0,1.0,-1.0,70.0,65.0,183.0
2.0,-12.0,-3.0,1.0,1.0,-1.0,71.0,66.0,182.0
-5.0,5.0,1.0,-2.0,0.0,-3.0,69.0,66.0,179.0
4.0,4.0,-2.0,-2.0,1.0,-2.0,67.0,67.0,177.0
4.0,-7.0,3.0,0.0,1.0,-2.0,67.0,68.0,175.0
-6.0,-11.0,4.0,1.0,0.0,0.0,68.0,68.0,175.0
-2.0,0.0,1.0,0.0,1.0,-1.0,68.0,69.0,174.0
4.0,5.0,0.0,-1.0,1.0,-2.0,67.0,70.0,172.0
3.0,-9.0,-2.0,0.0,1.0,-1.0,67.0,71.0,171.0
0.0,0.0,0.0,0.0,0.0,0.0,67.0,71.0,171.0
-4.0,-13.0,3.0,1.0,0.0,-1.0,68.0,71.0,170.0
-5.0,3.0,6.0,-1.0,0.0,-1.0,67.0,71.0,169.0
6.0,-6.0,-2.0,-1.0,1.0,-2.0,66.0,72.0,167.0
-2.0,-1.0,0.0,0.0,1.0,-1.0,66.0,73.0,166.0
0.0,-3.0,7.0,-1.0,1.0,-1.0,65.0,74.0,165.0
2.0,-14.0,1.0,0.0,1.0,0.0,65.0,75.0,165.0
-8.0,4.0,3.0,-1.0,0.0,-1.0,64.0,75.0,164.0
6.0,2.0,-6.0,-1.0,1.0,-2.0,63.0,76.0,162.0
4.0,-2.0,-4.0,-1.0,1.0,-2.0,62.0,77.0,160.0
-7.0,5.0,5.0,-1.0,0.0,-1.0,61.0,77.0,159.0
0.0,-2.0,5.0,-1.0,0.0,-1.0,60.0,77.0,158.0
6.0,-6.0,-4.0,0.0,1.0,0.0,60.0,78.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,60.0,78.0,158.0
0.0,-2.0,1.0,0.0,0.0,-2.0,60.0,78.0,156.0
-4.0,-10.0,5.0,-1.0,1.0,-1.0,59.0,79.0,155.0
-4.0,-6.0,2.0,0.0,0.0,0.0,59.0,79.0,155.0
-2.0,-1.0,4.0,-1.0,0.0,-2.0,58.0,79.0,153.0
