mevan,nontouch,free,horizontal,0.979
hussel,touch,free,horizontal,0.997
samitha,nontouch,free,backslash,0.986
chamod,nontouch,free,horizontal,0.997
sachith,nontouch,free,horizontal,0.941
yilei,touch,free,vertical,0.983
sam,touch,free,vertical,1.0
kaixing,touch,free,static,0.983
kaixing,touch,free,vertical,1.0
chamod,touch,free,static,1.0
sachith,nontouch,free,backslash,0.927
sachith,touch,free,circle,0.997
samitha,touch,free,static,0.993
mevan,touch,free,horizontal,0.927
vipula,touch,free,vertical,1.0
mevan,touch,free,backslash,0.993
samitha,nontouch,free,circle,0.955
sachith,nontouch,free,circle,0.969
tharindu,nontouch,free,backslash,0.99
sam,nontouch,free,circle,1.0
vipula,touch,free,circle,1.0
hussel,nontouch,free,circle,0.99
hussel,touch,free,vertical,0.997
kaixing,nontouch,free,vertical,0.965
chamod,nontouch,free,vertical,0.896
hussel,nontouch,free,slash,1.0
yilei,touch,free,static,1.0
hussel,nontouch,free,static,0.993
chamod,nontouch,free,circle,1.0
kaixing,touch,free,circle,1.0
kaixing,touch,free,backslash,1.0
tharindu,nontouch,free,static,1.0
hussel,nontouch,free,vertical,0.941
sam,nontouch,free,slash,1.0
vipula,nontouch,free,horizontal,1.0
tharindu,touch,free,static,1.0
chamod,nontouch,free,slash,0.993
mevan,touch,free,static,0.91
tharindu,touch,free,horizontal,1.0
vipula,touch,free,horizontal,1.0
sam,touch,free,circle,1.0
mevan,nontouch,free,slash,0.986
yilei,nontouch,free,vertical,1.0
tharindu,nontouch,free,slash,1.0
chamod,touch,free,vertical,1.0
sachith,touch,free,static,0.993
samitha,nontouch,free,static,0.993
tharindu,touch,free,backslash,1.0
samitha,touch,free,backslash,0.976
samitha,nontouch,free,horizontal,0.997
samitha,touch,free,vertical,1.0
kaixing,nontouch,free,circle,0.997
vipula,nontouch,free,backslash,0.969
mevan,touch,free,slash,0.986
sachith,touch,free,backslash,1.0
hussel,touch,free,slash,0.951
mevan,nontouch,free,backslash,0.958
sachith,touch,free,slash,1.0
sam,touch,free,horizontal,1.0
sachith,touch,free,vertical,1.0
sachith,touch,free,horizontal,0.976
hussel,nontouch,free,backslash,0.698
yilei,touch,free,slash,1.0
tharindu,touch,free,circle,1.0
kaixing,touch,free,slash,1.0
sam,touch,free,slash,1.0
kaixing,nontouch,free,horizontal,1.0
vipula,nontouch,free,slash,1.0
sam,nontouch,free,horizontal,0.969
vipula,nontouch,free,circle,1.0
hussel,touch,free,circle,0.997
sachith,nontouch,free,vertical,0.986
hussel,touch,free,static,0.958
kaixing,touch,free,horizontal,0.976
vipula,nontouch,free,static,1.0
sam,touch,free,backslash,1.0
sam,nontouch,free,vertical,0.993
samitha,nontouch,free,slash,0.993
hussel,nontouch,free,horizontal,1.0
yilei,nontouch,free,slash,0.972
yilei,touch,free,backslash,0.948
mevan,nontouch,free,vertical,0.99
sam,nontouch,free,backslash,0.99
tharindu,touch,free,vertical,1.0
sam,nontouch,free,static,0.795
vipula,touch,free,backslash,1.0
yilei,touch,free,circle,1.0
yilei,touch,free,horizontal,1.0
mevan,touch,free,circle,1.0
chamod,touch,free,backslash,1.0
yilei,nontouch,free,horizontal,0.993
tharindu,nontouch,free,horizontal,1.0
tharindu,touch,free,slash,1.0
chamod,touch,free,horizontal,1.0
kaixing,nontouch,free,static,0.986
