index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
113,701,553,-758,10,-17,-46,5412,2671,-3733,still
114,693,552,-749,10,-18,-49,5412,2671,-3733,still
115,686,551,-738,9,-19,-51,5536,2795,-3920,still
116,679,551,-727,9,-21,-53,5536,2795,-3920,still
117,671,550,-716,9,-22,-55,5536,2795,-3920,still
118,664,550,-704,9,-23,-56,5536,2795,-3920,still
119,657,550,-692,10,-24,-58,5536,2795,-3920,still
120,650,549,-680,10,-25,-59,5536,2795,-3920,still
121,643,548,-670,11,-25,-60,5536,2795,-3920,still
122,637,546,-661,13,-26,-61,5536,2795,-3920,still
123,631,544,-653,14,-26,-61,5536,2795,-3920,still
124,631,544,-653,14,-26,-61,5536,2795,-3920,still
125,626,542,-645,15,-27,-62,5536,2795,-3920,still
126,622,540,-638,17,-27,-63,5606,2689,-3886,still
127,619,537,-632,19,-27,-63,5606,2689,-3886,still
128,618,534,-627,21,-27,-63,5606,2689,-3886,still
129,617,530,-623,23,-28,-63,5606,2689,-3886,still
130,616,525,-620,26,-28,-64,5606,2689,-3886,still
131,615,518,-619,28,-29,-64,5606,2689,-3886,still
132,613,512,-618,30,-29,-64,5606,2689,-3886,still
133,613,505,-618,32,-30,-64,5606,2689,-3886,still
134,613,505,-618,32,-30,-64,5606,2689,-3886,still
135,614,498,-619,34,-30,-64,5606,2689,-3886,still
136,616,490,-619,37,-31,-64,5606,2689,-3886,still
137,618,481,-620,39,-31,-63,5624,2706,-3971,still
138,621,472,-622,41,-32,-63,5624,2706,-3971,still
139,624,462,-624,43,-33,-63,5624,2706,-3971,still
140,628,453,-627,45,-34,-63,5624,2706,-3971,still
141,632,442,-629,47,-35,-62,5624,2706,-3971,still
142,636,432,-632,48,-37,-62,5624,2706,-3971,still
143,637,422,-635,50,-39,-61,5624,2706,-3971,still
144,637,414,-639,51,-40,-61,5624,2706,-3971,still
145,637,414,-639,51,-40,-61,5624,2706,-3971,still
146,636,405,-642,53,-42,-60,5624,2706,-3971,still
147,636,397,-645,54,-43,-60,5624,2706,-3971,still
148,637,388,-647,55,-45,-59,5553,2883,-4108,still
149,636,379,-650,57,-46,-58,5553,2883,-4108,still
150,637,370,-652,58,-47,-57,5553,2883,-4108,still
151,638,362,-654,59,-48,-57,5553,2883,-4108,still
152,639,353,-656,61,-49,-56,5553,2883,-4108,still
153,640,345,-658,62,-50,-55,5553,2883,-4108,still
154,640,334,-661,64,-51,-54,5553,2883,-4108,still
155,640,323,-664,65,-53,-53,5553,2883,-4108,still
156,640,323,-664,65,-53,-53,5553,2883,-4108,still
157,641,311,-666,66,-54,-52,5553,2883,-4108,still
158,642,298,-668,67,-55,-51,5553,2883,-4108,still
159,643,284,-670,68,-56,-50,5730,2883,-4210,still
160,645,271,-671,68,-58,-49,5730,2883,-4210,still
161,646,259,-671,69,-59,-48,5730,2883,-4210,still
162,646,247,-672,69,-61,-47,5730,2883,-4210,still
163,645,236,-674,69,-63,-46,5730,2883,-4210,still
164,646,225,-674,69,-64,-45,5730,2883,-4210,still
165,646,216,-674,68,-66,-43,5730,2883,-4210,still
166,646,216,-674,68,-66,-43,5730,2883,-4210,still
167,646,206,-674,68,-67,-42,5730,2883,-4210,still
168,647,197,-673,68,-68,-40,5730,2883,-4210,still
169,647,189,-672,67,-70,-39,5730,2883,-4210,still
170,647,182,-673,67,-71,-38,5730,2883,-4483,still
171,647,176,-673,66,-72,-36,5730,2883,-4483,still
172,647,172,-674,65,-73,-35,5730,2883,-4483,still
173,647,168,-674,65,-73,-33,5730,2883,-4483,still
174,648,165,-674,64,-74,-32,5730,2883,-4483,still
175,649,162,-675,64,-75,-30,5730,2883,-4483,still
176,651,160,-676,63,-75,-29,5730,2883,-4483,still
177,651,160,-676,63,-75,-29,5730,2883,-4483,still
178,652,159,-677,63,-76,-27,5730,2883,-4483,still
179,653,157,-677,62,-76,-26,5730,2883,-4483,still
180,654,156,-678,62,-76,-24,5730,2883,-4483,still
181,656,156,-680,61,-77,-23,5694,3131,-4517,still
182,657,156,-680,61,-77,-21,5694,3131,-4517,still
183,659,156,-681,60,-77,-20,5694,3131,-4517,still
184,662,156,-681,60,-77,-19,5694,3131,-4517,still
185,665,158,-682,59,-77,-17,5694,3131,-4517,still
186,669,159,-682,59,-77,-16,5694,3131,-4517,still
187,669,159,-682,59,-77,-16,5694,3131,-4517,still
188,671,161,-684,58,-77,-14,5694,3131,-4517,still
189,671,161,-685,58,-77,-13,5694,3131,-4517,still
190,671,163,-686,57,-77,-12,5694,3131,-4517,still
191,673,167,-686,57,-77,-11,5694,3131,-4517,still
192,675,171,-685,56,-76,-10,5765,2919,-4483,still
193,678,174,-685,55,-74,-9,5765,2919,-4483,still
194,681,177,-685,55,-73,-8,5765,2919,-4483,still
195,685,179,-684,55,-72,-7,5765,2919,-4483,still
196,689,181,-684,54,-70,-6,5765,2919,-4483,still
197,694,184,-686,54,-68,-6,5765,2919,-4483,still
198,694,184,-686,54,-68,-6,5765,2919,-4483,still
199,698,187,-688,53,-67,-5,5765,2919,-4483,still
200,701,190,-691,53,-65,-5,5765,2919,-4483,still
201,705,193,-694,53,-63,-4,5765,2919,-4483,still
202,710,194,-698,53,-61,-3,5765,2919,-4483,still
203,714,195,-704,52,-59,-3,5906,3060,-4653,still
204,718,196,-709,52,-56,-3,5906,3060,-4653,still
205,723,197,-715,52,-54,-2,5906,3060,-4653,still
206,728,197,-722,52,-52,-2,5906,3060,-4653,still
207,732,197,-729,51,-50,-2,5906,3060,-4653,still
208,732,197,-729,51,-50,-2,5906,3060,-4653,still
209,736,197,-736,51,-48,-1,5906,3060,-4653,still
210,739,197,-744,50,-46,-1,5906,3060,-4653,still
211,742,196,-752,50,-43,-1,5906,3060,-4653,still
212,745,196,-759,50,-41,0,5906,3060,-4653,still
213,748,195,-766,49,-38,0,5906,3060,-4653,still
214,751,195,-773,49,-36,0,5730,3060,-4721,still
215,753,193,-780,49,-33,1,5730,3060,-4721,still
216,755,191,-786,48,-31,1,5730,3060,-4721,still
217,758,189,-793,48,-29,1,5730,3060,-4721,still
218,760,186,-799,47,-26,1,5730,3060,-4721,still
219,760,186,-799,47,-26,1,5730,3060,-4721,still
220,763,184,-805,46,-24,1,5730,3060,-4721,still
221,764,181,-812,46,-22,1,5730,3060,-4721,still
222,765,178,-818,45,-20,1,5730,3060,-4721,still
223,766,175,-824,44,-18,2,5730,3060,-4721,still
224,767,171,-830,43,-16,2,5730,3060,-4721,still
225,767,168,-836,42,-14,2,5853,2936,-4738,still
226,767,164,-841,41,-13,2,5853,2936,-4738,still
227,768,161,-847,40,-11,2,5853,2936,-4738,still
228,768,157,-852,39,-10,2,5853,2936,-4738,still
229,768,157,-852,39,-10,2,5853,2936,-4738,still
230,768,153,-855,38,-8,2,5853,2936,-4738,still
231,768,149,-859,36,-7,2,5853,2936,-4738,still
232,768,146,-863,35,-6,2,5853,2936,-4738,still
233,767,142,-867,34,-4,2,5853,2936,-4738,still
234,766,138,-870,32,-3,2,5853,2936,-4738,still
235,765,134,-872,30,-2,2,5853,2936,-4738,still
236,764,130,-874,29,-2,2,5853,2936,-4738,still
237,762,126,-875,27,-1,3,5853,2936,-4738,still
238,760,123,-877,25,0,3,5853,2936,-4738,still
239,759,119,-878,23,0,3,5853,2936,-4738,still
240,759,119,-878,23,0,3,5853,2936,-4738,still
241,757,116,-879,21,1,3,5853,2936,-4738,still
242,754,113,-880,19,2,3,5853,2936,-4738,still
243,752,111,-879,17,2,3,5853,2936,-4738,still
244,749,108,-879,15,2,3,5853,2936,-4738,still
245,747,106,-877,12,3,4,5853,2936,-4738,still
246,744,105,-874,10,3,4,5853,2936,-4738,still
247,741,103,-870,8,3,4,5853,2936,-4738,still
248,737,102,-866,6,4,5,5853,2936,-4738,still
249,734,102,-860,4,4,5,5853,2936,-4738,still
250,734,102,-860,4,4,5,5853,2936,-4738,still
251,730,102,-855,2,4,6,5853,2936,-4738,still
252,727,101,-849,0,5,6,5853,2936,-4738,still
253,724,100,-842,-1,5,7,5853,2936,-4738,still
254,722,98,-835,-3,6,8,5853,2936,-4738,still
255,719,97,-829,-4,7,9,5853,2936,-4738,still
256,716,96,-823,-5,8,10,5853,2936,-4738,still
257,714,95,-819,-6,9,11,5853,2936,-4738,still
258,712,93,-816,-7,10,13,5853,2936,-4738,still
259,710,92,-813,-8,11,14,5853,2936,-4738,still
260,710,92,-813,-8,11,14,5888,3007,-4704,still
261,709,92,-812,-9,12,15,5888,3007,-4704,still
262,708,91,-813,-11,14,17,5888,3007,-4704,still
263,707,92,-814,-12,15,18,5888,3007,-4704,still
264,707,93,-817,-13,16,20,5888,3007,-4704,still
265,707,95,-820,-14,17,21,5888,3007,-4704,still
266,706,97,-823,-15,17,22,5888,3007,-4704,still
267,705,99,-828,-16,18,24,5888,3007,-4704,still
268,705,102,-832,-18,19,25,5888,3007,-4704,still
269,705,105,-836,-19,19,26,5888,3007,-4704,still
270,705,109,-840,-20,20,28,5888,3007,-4704,still
271,705,109,-840,-20,20,28,5871,2883,-4687,still
272,705,113,-843,-21,20,29,5871,2883,-4687,still
273,705,117,-846,-22,20,30,5871,2883,-4687,still
274,706,121,-849,-23,20,32,5871,2883,-4687,still
275,706,125,-852,-24,21,33,5871,2883,-4687,still
276,706,129,-855,-25,21,34,5871,2883,-4687,still
277,706,132,-857,-26,21,35,5871,2883,-4687,still
278,707,136,-860,-27,21,37,5871,2883,-4687,still
279,707,138,-862,-28,21,38,5871,2883,-4687,still
280,708,141,-863,-29,21,39,5871,2883,-4687,still
281,708,141,-863,-29,21,39,5871,2883,-4687,still
282,710,143,-863,-29,21,41,5818,2936,-4636,still
283,712,145,-863,-30,21,42,5818,2936,-4636,still
284,714,148,-863,-31,21,43,5818,2936,-4636,still
285,714,150,-864,-31,21,45,5818,2936,-4636,still
286,715,153,-865,-32,21,46,5818,2936,-4636,still
287,715,156,-865,-33,20,47,5818,2936,-4636,still
288,715,158,-865,-33,20,48,5818,2936,-4636,still
289,714,161,-865,-34,20,49,5818,2936,-4636,still
290,714,163,-863,-35,19,50,5818,2936,-4636,still
291,714,165,-861,-36,19,51,5818,2936,-4636,still
292,714,165,-861,-36,19,51,5818,2936,-4636,still
293,713,167,-860,-36,19,52,5888,2901,-4568,still
294,711,170,-860,-37,18,53,5888,2901,-4568,still
295,710,171,-859,-38,18,54,5888,2901,-4568,still
296,709,173,-859,-39,18,55,5888,2901,-4568,still
297,708,175,-858,-39,17,56,5888,2901,-4568,still
298,708,175,-857,-40,17,56,5888,2901,-4568,still
299,708,175,-856,-41,17,57,5888,2901,-4568,still
300,707,174,-855,-41,16,58,5888,2901,-4568,still
301,708,172,-854,-42,16,59,5888,2901,-4568,still
302,708,172,-854,-42,16,59,5888,2901,-4568,still
303,708,170,-852,-43,16,59,5888,2901,-4568,still
304,707,168,-851,-44,15,60,5906,2777,-4483,still
305,706,167,-850,-45,15,61,5906,2777,-4483,still
306,706,165,-848,-46,14,61,5906,2777,-4483,still
307,705,163,-846,-47,14,62,5906,2777,-4483,still
308,705,161,-845,-47,13,63,5906,2777,-4483,still
309,704,157,-844,-48,13,64,5906,2777,-4483,still
310,703,152,-843,-48,13,65,5906,2777,-4483,still
311,703,147,-840,-48,13,67,5906,2777,-4483,still
312,704,142,-837,-48,13,69,5906,2777,-4483,still
313,704,142,-837,-48,13,69,5906,2777,-4483,still
314,705,139,-834,-48,13,70,5906,2777,-4483,still
315,706,136,-831,-49,12,72,5818,2724,-4363,still
316,706,135,-828,-49,12,74,5818,2724,-4363,still
317,705,134,-825,-49,12,75,5818,2724,-4363,still
318,705,134,-820,-50,11,77,5818,2724,-4363,still
319,704,132,-815,-51,11,78,5818,2724,-4363,still
320,704,132,-810,-51,11,80,5818,2724,-4363,still
321,704,131,-806,-52,10,81,5818,2724,-4363,still
322,704,130,-802,-53,10,82,5818,2724,-4363,still
323,704,130,-802,-53,10,82,5818,2724,-4363,still
324,703,128,-799,-54,10,83,5818,2724,-4363,still
325,702,126,-795,-54,10,85,5818,2724,-4363,still
326,702,125,-791,-55,10,86,5641,2689,-4329,still
327,702,124,-787,-56,10,87,5641,2689,-4329,still
328,701,122,-785,-57,10,89,5641,2689,-4329,still
329,701,121,-781,-58,11,90,5641,2689,-4329,still
330,702,120,-778,-59,11,91,5641,2689,-4329,still
331,702,119,-774,-60,12,92,5641,2689,-4329,still
332,702,119,-771,-61,12,93,5641,2689,-4329,still
333,702,119,-767,-62,12,94,5641,2689,-4329,still
334,702,119,-767,-62,12,94,5641,2689,-4329,still
335,702,119,-764,-64,13,95,5641,2689,-4329,still
336,704,120,-759,-66,13,96,5641,2689,-4329,still
337,706,121,-756,-68,14,97,5641,2476,-4295,still
338,706,124,-753,-70,14,97,5641,2476,-4295,still
339,704,127,-749,-72,14,98,5641,2476,-4295,still
340,702,132,-746,-74,14,98,5641,2476,-4295,still
341,702,138,-743,-76,15,99,5641,2476,-4295,still
342,700,144,-739,-78,15,99,5641,2476,-4295,still
343,699,150,-734,-81,16,99,5641,2476,-4295,still
344,698,157,-731,-83,17,100,5641,2476,-4295,still
345,698,157,-731,-83,17,100,5641,2476,-4295,still
346,697,164,-728,-85,17,100,5641,2476,-4295,still
347,695,172,-725,-87,18,100,5641,2476,-4295,still
348,695,180,-721,-88,18,100,5589,2706,-4005,still
349,693,188,-718,-90,19,100,5589,2706,-4005,still
350,691,196,-716,-91,19,100,5589,2706,-4005,still
351,691,204,-713,-92,20,100,5589,2706,-4005,still
352,689,212,-712,-93,21,100,5589,2706,-4005,still
353,688,219,-711,-94,21,100,5589,2706,-4005,still
354,688,225,-710,-95,22,100,5589,2706,-4005,still
355,688,225,-710,-95,22,100,5589,2706,-4005,still
356,687,231,-709,-95,22,100,5589,2706,-4005,still
357,686,237,-709,-96,23,100,5589,2706,-4005,still
358,685,242,-709,-96,24,100,5589,2706,-4005,still
359,686,246,-709,-96,24,100,5483,2636,-3869,still
360,687,249,-710,-97,25,100,5483,2636,-3869,still
361,687,251,-711,-97,25,100,5483,2636,-3869,still
362,688,253,-713,-97,25,100,5483,2636,-3869,still
363,688,255,-715,-96,26,100,5483,2636,-3869,still
364,689,256,-717,-96,26,100,5483,2636,-3869,still
365,689,256,-719,-96,26,100,5483,2636,-3869,still
