index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
113,883,112,-498,-1,1,0,5165,2459,-3392,still
114,884,112,-499,-1,1,0,5165,2459,-3392,still
115,884,113,-498,-1,1,0,5254,2264,-3307,still
116,884,113,-498,-1,1,0,5254,2264,-3307,still
117,884,113,-498,-1,1,0,5254,2264,-3307,still
118,884,113,-498,-1,1,0,5254,2264,-3307,still
119,884,113,-498,-1,1,1,5254,2264,-3307,still
120,884,113,-498,-1,1,1,5254,2264,-3307,still
121,884,113,-498,-1,1,1,5254,2264,-3307,still
122,884,113,-498,-1,1,1,5254,2264,-3307,still
123,884,113,-498,-1,1,1,5254,2264,-3307,still
124,884,113,-498,-1,1,1,5254,2264,-3307,still
125,884,113,-498,-1,1,1,5254,2264,-3307,still
126,884,112,-498,-1,1,1,5306,2388,-3494,still
127,884,112,-498,-1,1,1,5306,2388,-3494,still
128,884,112,-498,-1,1,1,5306,2388,-3494,still
129,884,112,-498,-1,1,1,5306,2388,-3494,still
130,883,113,-499,-1,1,1,5306,2388,-3494,still
131,883,113,-499,-1,1,1,5306,2388,-3494,still
132,882,114,-498,-1,1,1,5306,2388,-3494,still
133,882,114,-498,-1,1,1,5306,2388,-3494,still
134,882,114,-498,-1,1,1,5306,2388,-3494,still
135,882,113,-498,-1,1,1,5306,2388,-3494,still
136,883,113,-498,-1,1,1,5306,2388,-3494,still
137,883,114,-498,-1,2,1,5412,2423,-3289,still
138,883,114,-498,-1,2,1,5412,2423,-3289,still
139,883,114,-498,-1,2,1,5412,2423,-3289,still
140,884,114,-498,-1,2,1,5412,2423,-3289,still
141,884,114,-498,-1,2,1,5412,2423,-3289,still
142,884,114,-498,-1,2,1,5412,2423,-3289,still
143,884,114,-498,-1,2,1,5412,2423,-3289,still
144,884,114,-498,-1,2,1,5412,2423,-3289,still
145,884,114,-499,-1,2,1,5412,2423,-3289,still
146,884,114,-498,-1,2,1,5412,2423,-3289,still
147,884,114,-498,-1,2,1,5412,2423,-3289,still
148,884,114,-498,-1,2,1,5324,2476,-3375,still
149,884,114,-498,-1,2,1,5324,2476,-3375,still
150,884,114,-497,-1,2,1,5324,2476,-3375,still
151,884,114,-497,-1,2,1,5324,2476,-3375,still
152,885,114,-496,-1,2,1,5324,2476,-3375,still
153,885,113,-495,-1,2,1,5324,2476,-3375,still
154,885,113,-495,-1,2,1,5324,2476,-3375,still
155,885,113,-495,-1,2,1,5324,2476,-3375,still
156,885,113,-496,-1,2,1,5324,2476,-3375,still
157,885,113,-496,-1,2,1,5324,2476,-3375,still
158,885,113,-497,-1,2,1,5324,2476,-3375,still
159,885,114,-496,-1,2,1,5324,2476,-3375,still
160,885,114,-496,-1,2,1,5324,2476,-3375,still
161,885,114,-496,-1,2,1,5324,2476,-3375,still
162,885,114,-496,-1,2,1,5324,2476,-3375,still
163,885,114,-497,-1,2,1,5324,2476,-3375,still
164,885,114,-497,-1,2,1,5324,2476,-3375,still
165,886,114,-497,-1,2,1,5324,2476,-3375,still
166,886,114,-496,-1,2,1,5324,2476,-3375,still
167,886,114,-496,-1,1,1,5324,2476,-3375,still
168,886,114,-496,-1,1,1,5324,2476,-3375,still
169,886,114,-497,-1,1,1,5324,2476,-3375,still
170,886,115,-496,-1,1,1,5324,2476,-3375,still
171,886,114,-496,-1,1,1,5324,2476,-3375,still
172,886,114,-496,-1,1,1,5324,2476,-3375,still
173,886,114,-495,-1,1,1,5324,2476,-3375,still
174,886,114,-495,-1,1,1,5324,2476,-3375,still
175,886,114,-495,-1,1,1,5324,2476,-3375,still
176,885,114,-495,-1,1,1,5324,2476,-3375,still
177,885,114,-495,-1,1,1,5324,2476,-3375,still
178,885,114,-495,-1,1,1,5324,2476,-3375,still
179,885,114,-495,-1,1,1,5324,2476,-3375,still
180,886,114,-494,-1,1,1,5324,2476,-3375,still
181,886,114,-495,-1,1,1,5324,2476,-3375,still
182,886,114,-495,-1,1,1,5377,2388,-3324,still
183,886,115,-495,-1,1,1,5377,2388,-3324,still
184,886,115,-495,-1,1,1,5377,2388,-3324,still
185,886,115,-495,-1,1,1,5377,2388,-3324,still
186,886,115,-495,-1,1,1,5377,2388,-3324,still
187,885,114,-495,-1,1,1,5377,2388,-3324,still
188,885,114,-495,-1,1,1,5377,2388,-3324,still
189,885,114,-495,-1,1,1,5377,2388,-3324,still
190,885,114,-495,-1,1,1,5377,2388,-3324,still
191,885,114,-496,-1,1,1,5377,2388,-3324,still
192,884,113,-496,-1,1,1,5377,2388,-3324,still
193,885,114,-496,-1,0,1,5465,2370,-3324,still
194,886,113,-495,-1,0,1,5465,2370,-3272,still
195,886,113,-495,-1,0,1,5465,2370,-3272,still
196,886,113,-496,-1,0,1,5465,2370,-3272,still
197,886,113,-496,-1,0,1,5465,2370,-3272,still
198,885,113,-497,-1,0,1,5465,2370,-3272,still
199,885,113,-497,-1,0,1,5465,2370,-3272,still
200,885,113,-496,-1,0,1,5465,2370,-3272,still
201,886,113,-495,-1,0,1,5465,2370,-3272,still
202,886,113,-495,-1,0,1,5465,2370,-3272,still
203,886,112,-495,-1,0,1,5465,2370,-3272,still
204,886,112,-495,-1,0,1,5412,2370,-3272,still
205,886,112,-496,-1,0,1,5412,2565,-3324,still
206,886,112,-496,-1,0,1,5412,2565,-3324,still
207,886,112,-496,-1,0,1,5412,2565,-3324,still
208,885,111,-497,0,0,1,5412,2565,-3324,still
209,884,111,-497,0,0,1,5412,2565,-3324,still
210,885,111,-498,0,0,1,5412,2565,-3324,still
211,885,111,-498,0,0,1,5412,2565,-3324,still
212,885,111,-499,0,0,1,5412,2565,-3324,still
213,885,111,-499,0,0,1,5412,2565,-3324,still
214,885,111,-498,0,0,0,5412,2565,-3324,still
215,885,110,-499,0,0,0,5412,2565,-3324,still
216,885,110,-499,0,0,0,5324,2406,-3341,still
217,885,111,-499,0,0,0,5324,2406,-3341,still
218,885,111,-499,0,0,0,5324,2406,-3341,still
219,885,110,-498,0,0,0,5324,2406,-3341,still
220,884,111,-498,0,0,0,5324,2406,-3341,still
221,884,111,-498,0,0,0,5324,2406,-3341,still
222,884,111,-497,0,0,0,5324,2406,-3341,still
223,884,110,-498,0,0,0,5324,2406,-3341,still
224,884,110,-498,0,0,0,5324,2406,-3341,still
225,884,110,-498,0,0,0,5324,2406,-3341,still
226,884,110,-498,0,0,0,5324,2406,-3341,still
227,884,110,-498,0,0,0,5430,2547,-3443,still
228,884,110,-498,0,0,0,5430,2547,-3443,still
229,884,110,-498,0,0,0,5430,2547,-3443,still
230,884,110,-498,0,0,0,5430,2547,-3443,still
231,883,111,-497,0,0,-1,5430,2547,-3443,still
232,884,111,-497,0,0,-1,5430,2547,-3443,still
233,884,111,-498,0,0,-1,5430,2547,-3443,still
234,884,111,-498,0,0,-1,5430,2547,-3443,still
235,883,111,-498,0,0,-1,5430,2547,-3443,still
236,883,111,-498,0,0,-1,5430,2547,-3443,still
237,883,111,-498,0,0,-1,5430,2547,-3443,still
238,883,111,-499,0,0,-1,5536,2512,-3272,still
239,883,112,-498,0,0,-1,5536,2512,-3272,still
240,884,112,-498,0,0,-1,5536,2512,-3272,still
241,884,112,-498,0,0,-1,5536,2512,-3272,still
242,884,113,-497,-1,0,-1,5536,2512,-3272,still
243,884,113,-497,-1,0,-1,5536,2512,-3272,still
244,884,113,-497,-1,0,-1,5536,2512,-3272,still
245,884,113,-497,-1,0,-1,5536,2512,-3272,still
246,884,113,-497,-1,0,-1,5536,2512,-3272,still
247,884,113,-497,-1,0,-1,5536,2512,-3272,still
248,884,114,-498,-1,0,-1,5536,2512,-3272,still
249,884,113,-498,-1,1,-1,5289,2512,-3341,still
250,884,113,-497,-1,1,-1,5289,2512,-3341,still
251,884,113,-497,-1,1,-1,5289,2512,-3341,still
252,884,113,-497,-1,1,-1,5289,2512,-3341,still
253,884,113,-498,-1,1,-1,5289,2512,-3341,still
254,884,113,-498,-1,1,-1,5289,2512,-3341,still
255,884,113,-498,-1,1,-1,5289,2512,-3341,still
256,884,113,-498,-1,1,-1,5289,2512,-3341,still
257,884,113,-498,-1,1,-1,5289,2512,-3341,still
258,884,113,-497,-1,1,-1,5289,2512,-3341,still
259,884,113,-496,-1,1,-1,5289,2512,-3341,still
260,883,113,-496,-1,1,-1,5254,2476,-3272,still
261,884,113,-497,-1,1,-1,5254,2476,-3272,still
262,884,113,-496,-1,1,-1,5254,2476,-3272,still
263,884,114,-496,-1,1,0,5254,2476,-3272,still
264,884,113,-496,-1,1,0,5254,2476,-3272,still
265,885,113,-497,-1,1,0,5254,2476,-3272,still
266,885,113,-496,-1,1,0,5254,2476,-3272,still
267,885,113,-496,-1,1,0,5254,2476,-3272,still
268,885,113,-496,-1,1,0,5254,2476,-3272,still
269,885,113,-495,-1,1,0,5254,2476,-3272,still
270,885,113,-495,-1,1,0,5254,2476,-3272,still
271,884,113,-496,0,1,0,5254,2476,-3409,still
272,884,113,-496,-1,1,0,5254,2476,-3409,still
273,884,113,-497,-1,1,0,5254,2476,-3409,still
274,884,113,-497,-1,1,0,5254,2476,-3409,still
275,884,113,-497,-1,1,0,5254,2476,-3409,still
276,884,113,-497,-1,1,0,5254,2476,-3409,still
277,884,113,-497,-1,1,0,5254,2476,-3409,still
278,884,113,-497,-1,1,0,5254,2476,-3409,still
